Plant,Year,YearCrop,FID,Area,CaneType,NP,RT,CropType,Yield,Lon,Lat,geometry
RDC,2021,6465,718,11.98,NP,1,0,NP,8.467445743,99.82162240367538,14.883601505221488,"POLYGON ((99.82007779997188 14.883749385373182, 99.8201565999719 14.884031285372933, 99.8203190999719 14.884227885372736, 99.82142669997185 14.883922885373048, 99.82142469997186 14.88392298537301, 99.82134529997185 14.88341958537346, 99.82136979997185 14.883415685373496, 99.82146129997184 14.88390048537303, 99.82189439997185 14.88384048537312, 99.82245019997178 14.883667785373278, 99.82301589997182 14.883487385373419, 99.8230981999718 14.882932285373933, 99.82007779997188 14.883749385373182))"
RDC,2021,6465,719,16.82,NP,1,0,NP,6.183115339,99.821532672862,14.882922092384574,"POLYGON ((99.82001739997186 14.882915785373925, 99.81996709997186 14.88318138537371, 99.81996999997189 14.883241785373656, 99.82004279997189 14.883705885373221, 99.82310399997178 14.88285798537401, 99.82320539997178 14.882160485374651, 99.82180479997182 14.882494285374351, 99.82127649997186 14.88263448537421, 99.82138769997184 14.883330985373577, 99.82133759997183 14.88334678537353, 99.82125879997186 14.882616785374218, 99.82001739997186 14.882915785373925))"
RDC,2021,6465,720,10.23,NP,1,0,NP,12.37047898,99.82146001990799,14.882314065118585,"POLYGON ((99.82125979997187 14.882601185374252, 99.8232246999718 14.882125885374686, 99.82328679997178 14.881827285374948, 99.82323169997181 14.881784385375004, 99.8231656999718 14.881775685374992, 99.82271579997183 14.881864585374888, 99.82202179997184 14.88202518537475, 99.82119659997186 14.882212085374599, 99.82124729997184 14.882589985374238, 99.82121959997187 14.882582685374249, 99.82116269997185 14.882214085374587, 99.82098849997188 14.882236685374528, 99.82042869997187 14.882206185374576, 99.82020629997187 14.882115685374663, 99.8200525999719 14.882153885374631, 99.81998389997192 14.88289348537392, 99.82125979997187 14.882601185374252))"
RDC,2021,6465,721,5.80,RT,0,1,RT1,4.893656716,99.8222599450617,14.881666500960417,"POLYGON ((99.82122499997186 14.882077785374708, 99.82335249997178 14.881599285375174, 99.82346689997179 14.881268085375465, 99.82117689997186 14.88169278537507, 99.82122499997186 14.882077785374708))"
RDC,2021,6465,725,21.68,NP,1,0,NP,9.870361446,99.82240680503772,14.880879887101925,"POLYGON ((99.82104139997188 14.880585585376107, 99.82116679997186 14.88168918537505, 99.82349519997179 14.881238285375504, 99.82378229997177 14.880658985376007, 99.82380659997177 14.880567385376121, 99.82382869997177 14.88046798537621, 99.82381929997179 14.880360585376323, 99.82373069997178 14.88010018537655, 99.82104139997188 14.880585585376107))"
RDC,2021,6465,726,14.86,RT,0,1,RT1,8.478354978,99.82229128076482,14.879973388028253,"POLYGON ((99.8208828999719 14.87984578537676, 99.82103779997186 14.880565585376116, 99.82373259997179 14.88009328537654, 99.82350689997179 14.879383185377199, 99.8208828999719 14.87984578537676))"
RDC,2021,6465,731,11.12,RT,0,1,RT1,14.24640288,99.81317413631479,14.879046798989624,"POLYGON ((99.81371049997212 14.880935085375725, 99.81407779997211 14.880767085375911, 99.81330679997217 14.878873685377604, 99.81294099997217 14.878947785377544, 99.81292669997212 14.878926685377538, 99.81329229997215 14.878855685377616, 99.81272789997217 14.87732618537901, 99.81254719997217 14.877250085379075, 99.81223119997216 14.877180285379191, 99.81371049997212 14.880935085375725))"
RDC,2021,6465,732,24.21,RT,0,1,RT1,10.77984304,99.81251734944892,14.878993098313092,"POLYGON ((99.81367599997212 14.880912885375755, 99.8122027999722 14.87715868537918, 99.81208199997215 14.877096785379253, 99.8119544999722 14.876984985379334, 99.81184429997221 14.876846485379472, 99.81177929997222 14.876796785379476, 99.81132699997221 14.87694788537938, 99.81216489997219 14.879087685377433, 99.81289439997217 14.878934485377583, 99.81289839997216 14.878973585377528, 99.81217919997216 14.879128185377358, 99.81299449997215 14.881209885375476, 99.81367599997212 14.880912885375755))"
RDC,2021,6465,733,24.15,RT,0,1,RT1,10.70062112,99.81178382308538,14.879226587852825,"POLYGON ((99.81226629997215 14.881499785375183, 99.81296099997215 14.881229985375477, 99.81233379997217 14.879625985376904, 99.81130129997223 14.876956285379388, 99.81060329997226 14.877180585379136, 99.8114197999722 14.879297685377226, 99.81212139997218 14.879114285377373, 99.81213309997214 14.879151785377362, 99.81142139997222 14.879335785377167, 99.81226629997215 14.881499785375183))"
RDC,2021,6465,734,25.32,RT,0,1,RT1,14.55924171,99.81103218428733,14.879444717548141,"POLYGON ((99.81063789997224 14.879465785377057, 99.81151149997217 14.881686985375035, 99.81160699997216 14.881703885375021, 99.81185019997214 14.881656685375075, 99.81223369997215 14.881496185375232, 99.81054489997227 14.8771673853792, 99.8098243999723 14.877366985378986, 99.81062099997224 14.879433885377079, 99.81135619997217 14.879277885377228, 99.81137569997217 14.879318285377174, 99.81063789997224 14.879465785377057))"
RDC,2021,6465,735,25.18,RT,0,1,RT1,11.16957903,99.8097990633212,14.878461620574084,"POLYGON ((99.80905479997232 14.87760198537874, 99.80982229997227 14.879538285376979, 99.81055409997221 14.879403485377097, 99.80976179997225 14.877336185379015, 99.80933509997227 14.877488185378894, 99.80905479997232 14.87760198537874))"
RDC,2021,6465,743,96.86,RT,0,1,RT2,4.250994695,99.81892825387845,14.877330457806567,"POLYGON ((99.81630939997207 14.87661928537971, 99.81661369997202 14.877230185379121, 99.81700439997203 14.877690085378715, 99.81766089997203 14.878592685377912, 99.817783699972 14.878739885377732, 99.818032499972 14.878993885377536, 99.81813129997198 14.879109185377434, 99.81814609997195 14.879124085377423, 99.81825939997195 14.879123685377387, 99.81829259997197 14.879095885377415, 99.81830939997194 14.879086285377424, 99.81882249997196 14.879562485377027, 99.81884009997192 14.879582185377009, 99.81885739997195 14.879599385376991, 99.81922739997191 14.879434285377144, 99.81939829997192 14.87936248537721, 99.82079209997187 14.879051685377478, 99.8206178999719 14.878472885378036, 99.82059089997189 14.87833098537815, 99.8206202999719 14.87815538537826, 99.82065909997188 14.878024385378449, 99.82068959997186 14.877091985379286, 99.82065009997191 14.876535385379759, 99.82062449997191 14.876324085379961, 99.82058969997192 14.876181385380121, 99.8204679999719 14.875754085380496, 99.82031999997189 14.875080285381094, 99.82031379997193 14.875064185381131, 99.82026539997189 14.875026585381182, 99.81863129997194 14.875607385380603, 99.81629359997204 14.876592585379703, 99.81630939997207 14.87661928537971))"
